Initializing Leap
Done
Connected
106.845446777, 95.9895593122
106.910745239, 96.0007553583
107.17713623, 96.2186588834
107.395162964, 96.4652109539
107.644721985, 96.676072554
107.831433105, 97.0623812232
107.992893982, 97.4911231258
108.140756226, 97.8530930989
108.275073242, 98.022145745
108.428717041, 98.0744035224
108.574665833, 98.0991971091
108.683255005, 98.1599898908
108.831062317, 98.1762553033
108.995513916, 98.1841769567
109.134463501, 98.1986596898
109.253834534, 98.2911855304
109.419438171, 98.2959243157
109.536657715, 98.2827038015
109.693637085, 98.2451609837
109.805459595, 98.2481088934
109.915379333, 98.2866680433
109.998326111, 98.3616034147
110.066870117, 98.4470135642
110.11444397, 98.5495961754
110.159619141, 98.6619924023
110.19720459, 98.7747656557
110.268469238, 98.8405349133
110.359283447, 98.8690796399
110.453121948, 98.8970847815
110.5526474, 98.895513838
110.631443787, 98.8870321091
110.686875916, 98.9138378695
110.747019958, 98.9509408231
110.817150879, 98.9917033921
110.898312378, 99.0141009484
110.975756836, 99.0365599764
111.048371887, 99.049650717
111.078926086, 99.0918845087
111.09928894, 99.1397586706
111.111030579, 99.2145410458
111.125064087, 99.279502975
111.138511658, 99.3394132963
111.145629883, 99.396990425
111.153507996, 99.4855165068
111.163371277, 99.5768047171
111.164479065, 99.6731745882
111.164219666, 99.7776901429
111.155981445, 99.9234245232
111.152503967, 100.095291207
111.144326782, 100.249567422
111.135295105, 100.394555946
111.104704285, 100.572735091
111.093333435, 100.771003188
111.080918884, 100.970619564
111.083795166, 101.094088894
111.071731567, 101.218312277
111.059921265, 101.322375673
111.037199402, 101.448266987
111.010322571, 101.570806045
111.011891174, 101.648577311
111.02171936, 101.700458062
111.031115723, 101.738209884
111.042059326, 101.785842257
111.048658752, 101.839863589
111.051235962, 101.910245956
111.051669312, 101.997489329
111.055361938, 102.075651282
111.05925293, 102.132023565
111.072427368, 102.196178166
111.08657074, 102.222452537
111.082345581, 102.255320774
111.089877319, 102.277834443
111.078413391, 102.323487428
111.071914673, 102.354781988
111.064813232, 102.384375832
111.057855225, 102.411629653
111.05177002, 102.437401323
111.040731812, 102.46070183
111.02689209, 102.484838352
111.028315735, 102.475756933
111.030116272, 102.447682123
111.027374268, 102.385292443
111.029898071, 102.292192867
111.029733276, 102.220806462
111.018533325, 102.167821952
111.003421021, 102.086035901
110.985609436, 102.018712093
110.976872253, 101.980558656
110.971824646, 101.959860451
110.956517029, 101.944014412
110.936213684, 101.924695905
110.929693604, 101.88818991
110.92449646, 101.8640971
110.924862671, 101.841139469
110.928334045, 101.815916946
110.937956238, 101.788213699
110.953111267, 101.762100519
110.971754456, 101.742241061
110.981538391, 101.737148472
110.987298584, 101.729321076
110.989305115, 101.731669295
110.991680908, 101.736009197
111.000894165, 101.740062231
111.007653809, 101.742914518
111.026309204, 101.729521883
111.036662292, 101.721296969
111.049830627, 101.715073301
111.068551636, 101.704457821
111.085049438, 101.700366538
111.10214386, 101.696440545
111.11603241, 101.703523451
111.135243225, 101.697156349
111.145498657, 101.706848387
111.155712891, 101.701023602
111.166928101, 101.701108296
111.177006531, 101.701473028
111.188082886, 101.698676749
111.206362915, 101.686162476
111.233364868, 101.657064504
111.257965088, 101.619885053
111.308950806, 101.542127447
111.33568573, 101.489739896
111.357281494, 101.432452367
111.374429321, 101.368240393
111.389822388, 101.299501369
111.398658752, 101.215567907
111.400679016, 101.127502179
111.408242798, 101.067093254
111.415977478, 100.997239544
111.424458313, 100.928253267
111.4362854, 100.851353533
111.4503479, 100.762502334
111.46864624, 100.646644568
111.492648315, 100.509842709
111.51138916, 100.420337178
111.537367249, 100.317505948
111.553855896, 100.232050719
111.57119751, 100.144091543
111.577987671, 100.063483016
111.590283203, 99.9917551017
111.610203552, 99.9409152716
111.635247803, 99.8955628155
111.647605896, 99.8531705634
111.661515808, 99.79224391
111.673194885, 99.7535946015
111.677372742, 99.725952826
111.68117218, 99.6726568599
111.663813782, 99.6233866073
111.64941864, 99.5771721813
111.653919983, 99.5292993854
111.648475647, 99.4957385679
111.638418579, 99.4764214269
111.628614807, 99.4550251763
111.620495605, 99.4334021634
111.609094238, 99.4099418297
111.594096375, 99.3937570134
111.569212341, 99.3714864986
111.557704163, 99.3177534004
111.539187622, 99.2678178874
111.519145203, 99.2410585722
111.499061584, 99.2233779446
111.486042786, 99.211621823
111.478512573, 99.2102954002
111.471968079, 99.2109524644
111.468406677, 99.2005473542
111.487036133, 99.1527852074
111.513374329, 99.1110486535
111.545626831, 99.0697574279
111.559648132, 99.0481849584
111.570205688, 99.0369329047
111.583868408, 99.0257286624
111.599429321, 99.0136952352
111.615603638, 99.0017874834
111.629063416, 98.9992917322
111.620896912, 99.0178438921
111.625576782, 99.0240634623
111.641772461, 99.0292475759
111.657589722, 99.0354493877
111.673248291, 99.0365026028
111.677528381, 99.0378344897
111.67625885, 99.0511601888
111.665132141, 99.0889051802
111.661325073, 99.1141263367
111.660510254, 99.1381959233
111.654171753, 99.1608680533
111.641629028, 99.1844923116
111.617150879, 99.2211936501
111.587147522, 99.2515114938
111.564532471, 99.2559470186
111.541946411, 99.2580807697
111.532106018, 99.2441567461
111.521899414, 99.2275033788
111.521166992, 99.2011347505
111.519754028, 99.1753576166
111.519267273, 99.1390360366
111.526800537, 99.0854204177
111.538711548, 99.0137157257
111.557434082, 98.9250079609
111.56411438, 98.8680414511
111.569358826, 98.8119478395
111.5745224, 98.7631802889
111.588473511, 98.7033628581
111.59808197, 98.6471941145
111.603640747, 98.623814377
111.612828064, 98.5913532199
111.628321838, 98.5668697238
